 n  q nc np rq   ch co cs tc
 1 25  1  1 24 12.0  0  0 12.0
 2 24  0  0 24 12.0  0  0 12.0
 3 24  1  1 23 11.5  0  0 11.5
 4 23  3  5 18  9.0  0  0 9.0
 5 18  2  6 12  6.0  0  0 6.0
 6 12  2  2 10  5.0 45  0 50.0
 7 10  0  0 10  5.0  0  0 5.0
 8 35  2  2 33 16.5  0  0 16.5
 9 33  2  6 27 13.5  0  0 13.5
10 27  1  2 25 12.5  0  0 12.5
11 25  0  0 25 12.5  0  0 12.5
12 25  1  1 24 12.0  0  0 12.0
13 24  1  1 23 11.5  0  0 11.5
14 23  1  2 21 10.5  0  0 10.5
15 21  3  6 15  7.5  0  0 7.5
16 15  3  5 10  5.0 45  0 50.0
17 10  3  8  2  1.0  0  0 1.0
18 27  2  4 23 11.5  0  0 11.5
19 23  2  5 18  9.0  0  0 9.0
20 18  2  3 15  7.5  0  0 7.5
21 15  2  6  9  4.5 45  0 49.5
22  9  1  2  7  3.5  0  0 3.5
23 32  1  1 31 15.5  0  0 15.5
24 31  3  6 25 12.5  0  0 12.5
25 25  2  5 20 10.0  0  0 10.0
26 20  2  3 17  8.5  0  0 8.5
27 17  1  3 14  7.0  0  0 7.0
28 14  3  9  5  2.5 45  0 47.5
29  5  1  1  4  2.0  0  0 2.0
30 29  1  1 28 14.0  0  0 14.0
atc = 15.03
---------------------------------
 n  q nc np rq   ch co cs tc
 1 25  1  1 24 12.0  0  0 12.0
 2 24  0  0 24 12.0  0  0 12.0
 3 24  1  2 22 11.0  0  0 11.0
 4 22  2  4 18  9.0  0  0 9.0
 5 18  3  7 11  5.5  0  0 5.5
 6 11  1  1 10  5.0 45  0 50.0
 7 10  2  5  5  2.5  0  0 2.5
 8 30  1  1 29 14.5  0  0 14.5
 9 29  1  1 28 14.0  0  0 14.0
10 28  1  1 27 13.5  0  0 13.5
11 27  3  6 21 10.5  0  0 10.5
12 21  1  1 20 10.0  0  0 10.0
13 20  0  0 20 10.0  0  0 10.0
14 20  3  7 13  6.5  0  0 6.5
15 13  2  4  9  4.5 45  0 49.5
16  9  0  0  9  4.5  0  0 4.5
17 34  1  3 31 15.5  0  0 15.5
18 31  1  2 29 14.5  0  0 14.5
19 29  2  7 22 11.0  0  0 11.0
20 22  2  6 16  8.0  0  0 8.0
21 16  2  2 14  7.0  0  0 7.0
22 14  1  2 12  6.0  0  0 6.0
23 12  3  7  5  2.5 45  0 47.5
24  5  1  2  3  1.5  0  0 1.5
25 28  1  3 25 12.5  0  0 12.5
26 25  3  5 20 10.0  0  0 10.0
27 20  1  3 17  8.5  0  0 8.5
28 17  3  8  9  4.5 45  0 49.5
29  9  3  3  6  3.0  0  0 3.0
30 31  3  8 23 11.5  0  0 11.5
atc = 14.70
---------------------------------
 n  q nc np rq   ch co cs tc 
 1 25  2  4 21 10.5  0  0 10.5
 2 21  2  2 19  9.5  0  0 9.5
 3 19  1  2 17  8.5  0  0 8.5
 4 17  1  1 16  8.0  0  0 8.0
 5 16  2  4 12  6.0  0  0 6.0
 6 12  1  1 11  5.5  0  0 5.5
 7 11  2  4  7  3.5 45  0 48.5
 8  7  1  1  6  3.0  0  0 3.0
 9 31  1  2 29 14.5  0  0 14.5
10 29  2  6 23 11.5  0  0 11.5
11 23  1  1 22 11.0  0  0 11.0
12 22  1  1 21 10.5  0  0 10.5
13 21  2  6 15  7.5  0  0 7.5
14 15  0  0 15  7.5  0  0 7.5
15 15  2  3 12  6.0  0  0 6.0
16 12  3  5  7  3.5 45  0 48.5
17  7  2  3  4  2.0  0  0 2.0
18 29  1  2 27 13.5  0  0 13.5
19 27  1  1 26 13.0  0  0 13.0
20 26  0  0 26 13.0  0  0 13.0
21 26  1  2 24 12.0  0  0 12.0
22 24  2  6 18  9.0  0  0 9.0
23 18  3  7 11  5.5  0  0 5.5
24 11  1  1 10  5.0 45  0 50.0
25 10  1  2  8  4.0  0  0 4.0
26 33  1  4 29 14.5  0  0 14.5
27 29  1  1 28 14.0  0  0 14.0
28 28  2  4 24 12.0  0  0 12.0
29 24  3  8 16  8.0  0  0 8.0
30 16  2  6 10  5.0 45  0 50.0
atc = 14.57
---------------------------------
